# 
# 05/11/2026 01:18:06
# The parameters defined in the project are:
# ,P1 - Force X Component [N],P3 - Force Z Component [N],P29 - Mass [kg],P30 - K factor,P31 - Angle [degree],P4 - Equivalent Stress Maximum [MPa],P5 - Equivalent Stress Average [MPa],P6 - Maximum Principal Stress Maximum [MPa],P7 - Maximum Principal Stress Minimum [MPa],P8 - Maximum Principal Stress Average [MPa],P9 - Equivalent Stress Minimum [MPa],P16 - Total Deformation Maximum [mm],P26 - Safety Factor (neck) Minimum,P27 - Safety Factor (STEM 2) Minimum,P28 - Safety Factor (STEM 1) Minimum
# 
# The following header line defines the name of the columns by reference to the parameters.
Name,P1,P3,P29,P30,P31,P4,P5,P6,P7,P8,P9,P16,P26,P27,P28
DP 74,2765.52,1006.57,60,5,20,738.92588250931578,14.6111655906137,754.89252222764446,-208.12785827495088,6.5584025725953987,8.9833876634208483E-10,0.96576975139590182,1.1191920862097748,3.4362101584468028,1.199556015475417
DP 75,2354.4,0,60,4,0,730.15625315374677,14.869073053020729,803.94327585588837,-199.32861131259702,7.2043048707690192,1.3091975079375313E-09,1.053773900619416,1.1326342771536342,2.3798628575283205,1.2123008546418432
DP 76,2318.63,408.84,60,4,10,670.83808179488267,13.458354974725056,714.78646548838753,-185.82207254715155,6.307986225738679,9.6275983310140448E-10,0.9272294260294931,1.232786304837217,3.0171438534200949,1.3203052605443324
DP 77,2212.41,805.25,60,4,20,591.13957634454209,11.688911113537126,603.91308715811908,-166.50194029211187,5.2467148083444188,1.4295748922038649E-09,0.77261474280429765,1.3989927812209075,4.2952603703137786,1.4994479403265077
DP 78,2648.7,0,60,4.5,0,821.42577486763457,16.727707183739685,904.4361681459103,-224.24468460457976,8.1048429843673482,1.4686488196610925E-09,1.1854956825350509,1.00678603630774,2.1154336002222007,1.077600792826229
DP 79,2608.46,459.94,60,4.5,10,754.69379839831061,15.1406714305314,804.13613836888169,-209.05007054602032,7.0964978026405072,1.065376646445047E-09,1.0431350118311777,1.0958086600885615,2.6818968185981125,1.17360314493988
DP 80,2488.96,905.91,60,4.5,20,665.03118424948582,13.150006995115316,679.40109436190414,-187.31447945335873,5.9025435238485437,1.5875348612141507E-09,0.869189997469168,1.243550707976653,3.8180233469171516,1.332844268656082
DP 81,2943,0,60,5,0,912.69530323234846,18.586341315732614,1004.9290852621643,-249.1607627012327,9.0053810931445515,1.6363787230235358E-09,1.317217464450734,0.9061074348373932,1.9038902415180765,0.96984070630056041
DP 82,2898.29,511.05,60,5,10,838.54837105226591,16.822959477414773,893.48395416269864,-232.27780203645031,7.8849904190693918,1.0193015388497779E-09,1.15903787866154,0.98622813966262424,2.4137125752088595,1.0562432433671682
DP 83,2765.52,1006.57,60,5,20,738.92588271928366,14.611165591136494,754.89252232275771,-208.12785836102358,6.5584025716575507,8.513763701411235E-10,0.96576975139590182,1.119192085891753,3.4362101584468028,1.199556015476958
DP 84,3237.3,0,60,5.5,0,1003.9648351183927,20.44497544700231,1105.4219987949286,-274.07683553847789,9.9059192002650249,1.8136038349510758E-09,1.4489391262302151,0.82373403038810245,1.7308093432933556,0.88167335631804122
DP 85,3188.12,562.15,60,5.5,10,922.40411748464544,18.505275936379697,982.83362221688617,-255.50579769434864,8.673501988845004,1.2689142908104416E-09,1.2749435237128819,0.89657015219662262,2.1942783860510162,0.960220161956991
DP 86,3042.07,1107.22,60,5.5,20,812.81867967201617,16.072288596106631,830.38239938243089,-228.94066176094017,7.2142495156659185,9.46541555225857E-10,1.0623477221876354,1.0174470895940855,3.12381726340883,1.090505178841247
DP 87,3531.6,0,60,6,0,1095.2343688992466,22.303609574093453,1205.914905782028,-298.99291993812682,10.806457314722774,1.9586406186613939E-09,1.5806609081458982,0.75508952556991749,1.5865752345278521,0.80820057787581
DP 88,3477.95,613.26,60,6,10,1006.2586709113945,20.187564037442577,1072.1814194126603,-278.73354525373315,9.46199470624322,2.3400913848321591E-09,1.3908463897300278,0.8218562720567314,2.0114256374094159,0.8802021306707879
DP 89,3318.62,1207.88,60,6,20,886.710298803397,17.533384475696092,905.87041950265166,-249.75320368633015,7.8700782486309437,1.0248303314602963E-09,1.1589230354291493,0.93266087144360987,2.8635077962882511,0.99963085025607079
DP 90,1373.4,0,70,2,0,425.9244785340876,8.6736259507249862,468.96691195554263,-116.27502521819265,4.2025111736420557,7.6253617394497534E-10,0.61470149065912,1.941658772105096,4.0797648304932208,2.0782300229767392
DP 91,1352.53,238.49,70,2,10,391.32092095791023,7.8506807959004128,416.95735085972967,-108.39585542606578,3.679645906401479,5.3998676198028409E-10,0.54088198644468133,2.1133549363412407,5.1722665107057724,2.2633879203973168
DP 92,1290.57,469.73,70,2,20,344.83054191442147,6.818513545661494,352.28162677016309,-97.125899595850072,3.0605745276013305,8.0652718461917822E-10,0.45069059697073743,2.39827944302347,7.3633365053116249,2.5704887385573403
DP 93,1716.75,0,70,2.5,0,532.40560050662862,10.842032429325453,586.20863788187989,-145.34378043710674,5.25313894579714,1.2029579160001404E-09,0.76837686379870118,1.5533270108598409,3.263811921582215,1.6625840214678156
DP 94,1690.67,298.11,70,2.5,10,489.15377815986909,9.8134053863411221,521.19972153234426,-135.49552324681329,4.5995850301827845,6.4019637619074614E-10,0.67610649368067732,1.6906748693857847,4.1377817479165611,1.8107006137514334
DP 95,1613.22,587.16,70,2.5,20,431.04079596291689,8.52319573962023,440.35506097861179,-121.40807535437,3.8257454837661951,9.8690937707754669E-10,0.5633672779107346,1.9186118987937935,5.8906052717656179,2.0563784205366407
DP 96,2060.1,0,70,3,0,638.8867077293163,13.010438920243088,703.45036360723168,-174.41253474361181,6.3037667618460462,1.1469609245135833E-09,0.92205217687094942,1.294439201809757,2.7198432589515584,1.3854866892830977
DP 97,2028.8,357.73,70,3,10,586.98352311873566,11.776066955589652,625.43867994099571,-162.59434368358754,5.519493654859942,1.3887396570414873E-09,0.8113265600112316,1.4088981503365188,3.4481552308882453,1.5089197467086479
DP 98,1935.86,704.6,70,3,20,517.2467728563048,10.227788120215092,528.423203996814,-145.68913670197202,4.5908678340479945,5.820925315309465E-10,0.67603677201097523,1.5988499946228709,4.9088938245348741,1.7136559667874365
